Weight,Last,First,Conference,Finish,ELO
174,Schoffstall,Ty,EWL,cons 24,1364.83
174,Sherry,Dean,EWL,cons 32,1338.26
174,Siegrist,Jared,EWL,NQ,
174,Stark,Gabe,EWL,NQ,
174,Ashughya,Arsen,MAC,NQ,
174,Barreiro,Dylan,MAC,NQ,
174,Brucki,Christian,MAC,cons 24,1373.05
174,Lewis,Daniel,MAC,4,1487.71
174,McNally`,Andrew,MAC,NQ,
174,Rosser,Quinton,MAC,NQ,
174,Weigel,Austin,MAC,NQ,
174,Wright,Seldon,MAC,cons 32,1341.87
174,Anderson,Ryan,Pac 12,NQ,
174,Battisto,Bryan,Pac 12,NQ,
174,Subjeck,Keaton,Pac 12,cons 24,1383.97
174,Terry,Myles,Pac 12,NQ,
174,Valencia,Zahid,Pac 12,1,1520.85
174,Kiely,Cade,SoCon,NQ,
174,Lampe,Justin,SoCon,NQ,
174,Maroni,Christian,SoCon,NQ,
174,Morgan,Andrew,SoCon,NQ,1338.58
174,Przybysz,Forrest,SoCon,cons 16,1356.51
174,Satterfield,Noah,SoCon,NQ,
174,Shewan,Bryce,SoCon,NQ,
174,Tywater,Robert,SoCon,NQ,
174,Reese, Austin,,NQ,1330.69
184,Harvey,Gregg,ACC,NQ,
184,Ness,Chip,ACC,7,1369.49
184,Peck, Drew,ACC,NQ,1337.03
184,Renda,Pete,ACC,cons 12,1420.44
184,Russell,Kaden,ACC,NQ,
184,Zavatsky,Zachary,ACC,6,1417.19
184,Brandt,Richie,Big 12,NQ,
184,Foster,Drew,Big 12,cons 24,1378.35
184,Gabel,Dylan,Big 12,cons 24,1345.01
184,Ikehara,Zen,Big 12,NQ,
184,Jantzer,Gary,Big 12,NQ,1309.87
184,McRill,Brendan,Big 12,NQ,
184,Moore,Keegan,Big 12,cons 32,1360.34
184,Mueller,Martin,Big 12,cons 32,1327.13
184,Pestano,Dane,Big 12,NQ,
184,Polson,Chaz,Big 12,cons 32,1309.12
184,Popp,Charley,Big 12,NQ,
184,Waddell,Matthey,Big 12,NQ,
184,Abounader,Domenic,Big Ten,5,1445.12
184,Bowman,Mitchell,Big Ten,cons 16,1288.06
184,Cappello,Niko,Big Ten,NQ,
184,Conley,Buddy,Big Ten,NQ,
184,Gravina,Nick,Big Ten,cons 16,1375.74
184,Krone,Brandon,Big Ten,cons 32,1299.39
184,Lyon, Max,Big Ten,NQ,1324.18
184,Martin,Myles,Big Ten,2,1469.69
184,Nickal,Bo,Big Ten,1,1534.24
184,Parker,Emory,Big Ten,3,1396.78
184,Robertson,Ricky,Big Ten,cons 24,1346.69
184,Shadaie,Shawn,Big Ten,NQ,
184,Sliga,Mitch,Big Ten,NQ,1295.31
184,Venz,Taylor,Big Ten,4,1375.92
184,Allshouse,Connor,EIWA,NQ,
184,Boyle,Mark,EIWA,NQ,
184,Coleman,Michael,EIWA,cons 12,1380.72
184,Daminana,Cory,EIWA,NQ,
184,Dean,Maxwell,EIWA,8,1399.22
184,Dean,Kanon,EIWA,NQ,
184,DeCiantis,Alexander,EIWA,cons 32,1317.89
184,Heyob,Joe,EIWA,cons 24,1347.65
184,LaFragola,Christian,EIWA,cons 16,1315.78
184,Mercadante,Steven,EIWA,NQ,
184,Parker,Kevin,EIWA,NQ,
184,Phipps,Drew,EIWA,NQ,1315.69
184,Preisch,Ryan,EIWA,cons 12,1420.43
184,Psomas,Andrew,EIWA,NQ,
184,Schneider,Steven,EIWA,cons 24,1347.21
